"tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z"
-0.0325344358911239 -0.0833073281576369 -0.20055779327781 -0.0737531704996254 -0.248776059401095 0.691181541717579 -0.0502587947594813 0.0392263085002507 -0.796446224729107 -0.819895396020173 -0.77340709745245 0.13056288456513 0.00525867679242075 -0.018428541454755 -0.354785213100432 -0.337848291960807 -0.592154201658213 -0.00199850618380403 -0.112204162798934 0.11910005087781 -0.490077444432277 -0.439306398686167 -0.362528208941787 -0.071224909201585 -0.0921000229474928 -0.102006380542588 -0.542819922594813 -0.633867353506628 -0.540182794004035
-0.0166542718770199 -0.111247784720861 -0.772355271227483 -0.676235159189404 -0.739913587098675 0.534444486364238 0.0638626357582781 0.183636903890397 -0.977077588443709 -0.966838174337748 -0.954390242847682 0.0728731078312252 0.000949168775231788 0.00323876246458278 -0.777028944208609 -0.74298803390596 -0.845480303725166 -0.0314526360606954 -0.0701392518268212 0.0806109597804636 -0.815295979827815 -0.793769149062583 -0.770198236377483 -0.0998789618178808 -0.0326426833519868 -0.0562415207093046 -0.823667269711921 -0.858531269983444 -0.833429901235099
-0.0222193886522138 -0.107546182215836 -0.211414588681818 -0.0660608855771261 -0.258010975431848 0.845590488387097 -0.177109006824927 -0.038591717218217 -0.942967209061584 -0.920174664956012 -0.898139452492669 0.112635045836628 0.0461226135727566 0.0409509283752493 -0.29413379192 -0.26439400193956 -0.557302818592082 -0.0461200458281525 -0.0658453539583284 0.0913339892079179 -0.461887140389736 -0.380150661684164 -0.3244817186739 -0.0647188068647713 -0.0966692654167449 -0.0861118754679472 -0.496686796456012 -0.588712538844164 -0.499676384197478
-0.0166570159407855 -0.112714175556782 -0.704722625235647 -0.601305853448896 -0.684424510990852 0.559236540561514 0.0810664608678233 0.170760435153628 -0.974522311356467 -0.96329108955836 -0.946324874574133 0.0657991449662461 0.00906192095451104 -0.0152050071212366 -0.725598077756467 -0.68312877373817 -0.812978439000631 -0.0335543051776025 -0.0701885741927098 0.0804311883201577 -0.770597506829653 -0.741010047344795 -0.722519750496215 -0.0890286524561199 -0.0391801142807224 -0.0557993405462461 -0.785365668182965 -0.836913885171293 -0.799126316328076
-0.0176421631271324 -0.104177807321192 -0.242251749866556 -0.104629996125728 -0.292741986433113 0.796908729072848 -0.147949599881788 -0.0286450186878808 -0.948580112384106 -0.931812738178808 -0.908963881837748 0.113767035893742 0.0339092049045695 0.0457505965870166 -0.303079990568013 -0.266690018855894 -0.544463272848013 -0.0523141146734437 -0.0560007676662252 0.0852173586121523 -0.490454180931126 -0.417669730534437 -0.353476327205629 -0.0979642660196689 -0.0601222850136093 -0.0535758634927152 -0.497149232473179 -0.588461429754636 -0.509537138794702
-0.0165725093767108 -0.108319038281846 -0.293218052738769 -0.106039803781846 -0.297380303490769 0.808135592246154 -0.163663214636 -0.0133083973696397 -0.952943456892308 -0.939509052892308 -0.918614774276923 0.100720159133015 0.0668858311252662 0.0276961397718154 -0.347122453464615 -0.277379773692923 -0.581517098273846 -0.0260252694129538 -0.0802170714443077 0.0831598692119692 -0.492302219366769 -0.389774323911385 -0.375023508982154 -0.0815958976121846 -0.0486839020760308 -0.0594767822457846 -0.510030066602154 -0.615312317117046 -0.532608456723077
-0.0177286653366883 -0.104869480841558 -0.372144196204935 -0.229147933736396 -0.380406546350974 0.716822783918831 -0.0745053963149351 0.0361430804203247 -0.955861375746753 -0.938764417142857 -0.921621880551948 0.111402246081169 0.0348486569630292 0.0433545898414935 -0.414007569591558 -0.37490984332013 -0.616967215016234 -0.0411051032154545 -0.0613065839505779 0.0901789079123377 -0.558189761519805 -0.469339124906818 -0.446481988338961 -0.0690763732655844 -0.0686251711980519 -0.0485631892210714 -0.568975541886364 -0.649523491746753 -0.581238821535714
-0.0177326932559982 -0.106982303461566 -0.407082249876512 -0.232340331779146 -0.391375060341993 0.709691287747331 -0.0784466355765124 0.0212475619040214 -0.961675161601424 -0.946810986298932 -0.925721293879004 0.0813079638437722 0.0511059421807473 0.0135088654877936 -0.446222652043416 -0.379447079754096 -0.629163958573879 -0.0393229915606975 -0.0760875834868327 0.0938513847342509 -0.584455582854092 -0.504703381826335 -0.431782326418861 -0.0879942235300356 -0.059987291399516 -0.0580584503361566 -0.580778782455516 -0.66295911244484 -0.587668005505338
-0.0169175626080556 -0.108484743497917 -0.559339787194826 -0.442652460706597 -0.556926400748611 0.592415076725694 0.000685440044097221 0.134813567357986 -0.967775196215278 -0.956153857743056 -0.9397937203125 0.0877368739788194 -0.0197207885023611 -0.0161507501502778 -0.586035168646181 -0.547876080682569 -0.724105428000694 -0.0214012234643194 -0.0771701854208333 0.0827535899239583 -0.687242127229167 -0.629491466225347 -0.608931783350694 -0.104771188578472 -0.0351711432327778 -0.0471301899165625 -0.682139315166667 -0.747325182659722 -0.700999119006597
-0.0189620137760204 -0.114345930316327 -0.458862430043197 -0.297946185560884 -0.451504002285034 0.67198367520068 -0.0660634131802721 0.0717828476128571 -0.963927325306122 -0.948732992176871 -0.932424575884354 0.0758780556459184 -0.0131340347920748 -0.0265227766719728 -0.493126175595238 -0.43287620463569 -0.659284916431905 -0.0338619161812585 -0.0723408583503061 0.0870181440365306 -0.587041712187075 -0.550929139067347 -0.511121410244218 -0.0882099371751701 -0.0420426140187755 -0.0772623247562585 -0.60209617370068 -0.689384853445578 -0.62874084629932
